season,day,home,away,homeGoals,awayGoals,winner
2022-23,2022-08-05T00:00:00Z,Crystal Palace,Arsenal,0,2,A
2022-23,2022-08-06T00:00:00Z,Fulham,Liverpool,2,2,D
2022-23,2022-08-06T00:00:00Z,Bournemouth,Aston Villa,2,0,H
2022-23,2022-08-06T00:00:00Z,Leeds,Wolves,2,1,H
2022-23,2022-08-06T00:00:00Z,Newcastle,Nott'm Forest,2,0,H
2022-23,2022-08-06T00:00:00Z,Tottenham,Southampton,4,1,H
2022-23,2022-08-06T00:00:00Z,Everton,Chelsea,0,1,A
2022-23,2022-08-07T00:00:00Z,Leicester,Brentford,2,2,D
2022-23,2022-08-07T00:00:00Z,Man United,Brighton,1,2,A
2022-23,2022-08-07T00:00:00Z,West Ham,Man City,0,2,A
2022-23,2022-08-13T00:00:00Z,Aston Villa,Everton,2,1,H
2022-23,2022-08-13T00:00:00Z,Arsenal,Leicester,4,2,H
2022-23,2022-08-13T00:00:00Z,Brighton,Newcastle,0,0,D
2022-23,2022-08-13T00:00:00Z,Man City,Bournemouth,4,0,H
2022-23,2022-08-13T00:00:00Z,Southampton,Leeds,2,2,D
2022-23,2022-08-13T00:00:00Z,Wolves,Fulham,0,0,D
2022-23,2022-08-13T00:00:00Z,Brentford,Man United,4,0,H
2022-23,2022-08-14T00:00:00Z,Nott'm Forest,West Ham,1,0,H
2022-23,2022-08-14T00:00:00Z,Chelsea,Tottenham,2,2,D
2022-23,2022-08-15T00:00:00Z,Liverpool,Crystal Palace,1,1,D
2022-23,2022-08-20T00:00:00Z,Tottenham,Wolves,1,0,H
2022-23,2022-08-20T00:00:00Z,Crystal Palace,Aston Villa,3,1,H
2022-23,2022-08-20T00:00:00Z,Everton,Nott'm Forest,1,1,D
2022-23,2022-08-20T00:00:00Z,Fulham,Brentford,3,2,H
2022-23,2022-08-20T00:00:00Z,Leicester,Southampton,1,2,A
2022-23,2022-08-20T00:00:00Z,Bournemouth,Arsenal,0,3,A
2022-23,2022-08-21T00:00:00Z,Leeds,Chelsea,3,0,H
2022-23,2022-08-21T00:00:00Z,West Ham,Brighton,0,2,A
2022-23,2022-08-21T00:00:00Z,Newcastle,Man City,3,3,D
2022-23,2022-08-22T00:00:00Z,Man United,Liverpool,2,1,H
2022-23,2022-08-27T00:00:00Z,Southampton,Man United,0,1,A
2022-23,2022-08-27T00:00:00Z,Brentford,Everton,1,1,D
2022-23,2022-08-27T00:00:00Z,Brighton,Leeds,1,0,H
2022-23,2022-08-27T00:00:00Z,Chelsea,Leicester,2,1,H
2022-23,2022-08-27T00:00:00Z,Liverpool,Bournemouth,9,0,H
2022-23,2022-08-27T00:00:00Z,Man City,Crystal Palace,4,2,H
2022-23,2022-08-27T00:00:00Z,Arsenal,Fulham,2,1,H
2022-23,2022-08-28T00:00:00Z,Aston Villa,West Ham,0,1,A
2022-23,2022-08-28T00:00:00Z,Wolves,Newcastle,1,1,D
2022-23,2022-08-28T00:00:00Z,Nott'm Forest,Tottenham,0,2,A
2022-23,2022-08-30T00:00:00Z,Fulham,Brighton,2,1,H
2022-23,2022-08-30T00:00:00Z,Crystal Palace,Brentford,1,1,D
2022-23,2022-08-30T00:00:00Z,Southampton,Chelsea,2,1,H
2022-23,2022-08-30T00:00:00Z,Leeds,Everton,1,1,D
2022-23,2022-08-31T00:00:00Z,Bournemouth,Wolves,0,0,D
2022-23,2022-08-31T00:00:00Z,Arsenal,Aston Villa,2,1,H
2022-23,2022-08-31T00:00:00Z,Man City,Nott'm Forest,6,0,H
2022-23,2022-08-31T00:00:00Z,West Ham,Tottenham,1,1,D
2022-23,2022-08-31T00:00:00Z,Liverpool,Newcastle,2,1,H
2022-23,2022-09-01T00:00:00Z,Leicester,Man United,0,1,A
2022-23,2022-09-03T00:00:00Z,Everton,Liverpool,0,0,D
2022-23,2022-09-03T00:00:00Z,Brentford,Leeds,5,2,H
2022-23,2022-09-03T00:00:00Z,Chelsea,West Ham,2,1,H
2022-23,2022-09-03T00:00:00Z,Newcastle,Crystal Palace,0,0,D
2022-23,2022-09-03T00:00:00Z,Nott'm Forest,Bournemouth,2,3,A
2022-23,2022-09-03T00:00:00Z,Tottenham,Fulham,2,1,H
